member_number,fname,lname,birth_date,email,address,state_abbr,zip_code
352411461997,Adella,Denesik,1994-01-04,adella.denesik@hotmail.com,"Apt. 074 036 Bethel Points, Scotville, WY 66853", WY ,66853
33460197329,Trenton,Gerlach,1946-02-01,trenton.gerlach@hotmail.com,"Apt. 306 4527 Strosin Viaduct, Bonnieview, PA 40750-9316", PA ,40750
833518416467,Connor,Hane,1976-03-12,connor.hane@yahoo.com,"02996 Stark Route, Baileyhaven, WA 21427-0896", WA ,21427
793896869664,Berry,Emmerich,1986-02-06,berry.emmerich@hotmail.com,"Suite 048 51652 Trantow Forge, East Veldahaven, ND 64462-1156", ND ,51652
859594107916,Hilma,Nikolaus,1981-04-13,hilma.nikolaus@hotmail.com,"58153 Russel Camp, South Barrychester, CT 68736-2807", CT ,68736
557696033849,Hope,Kilback,1990-07-08,hope.kilback@gmail.com,"11327 Leuschke Ways, Williston, NC 84167", NC ,84167
247845913616,Anabelle,Schmitt,1949-01-10,anabelle.schmitt@gmail.com,"31271 Frami Alley, Blickchester, ME 08287-4825", ME ,08287
910001196217,Garett,Koss,1971-05-15,garett.koss@yahoo.com,"Suite 122 833 Orie Green, Dawsonbury, AK 11389", AK ,11389
957523726947,Randi,Huels,1944-05-08,randi.huels@yahoo.com,"Apt. 953 12892 Precious Lakes, Corneliusside, CO 62304", CO ,12892
428802936252,Rey,Keebler,1975-04-10,rey.keebler@yahoo.com,"Suite 637 253 Mertz Lakes, Smithamborough, MA 22759-9646", MA ,22759
871888385508,Quentin,Moen,1955-05-14,quentin.moen@yahoo.com,"5138 Emmalee Union, Port Adan, SD 12012", SD ,12012
441474085030,Lempi,Eichmann,1985-04-27,lempi.eichmann@yahoo.com,"768 Arnaldo Ford, Hillsview, CA 49111", CA ,49111
100149251936,Melody,Zboncak,1979-12-26,melody.zboncak@yahoo.com,"Suite 194 4224 Pagac Lane, New Candicechester, ME 94443", ME ,94443
69941037168,Trisha,Johns,1969-08-22,trisha.johns@yahoo.com,"Apt. 319 91989 Elnora Plains, Kuhntown, CA 50419", CA ,91989
202906786535,Maribel,Glover,1949-04-14,maribel.glover@yahoo.com,"054 Okey Trail, Ziemannstad, OH 33963-8620", OH ,33963
961895498032,Jabari,Thiel,1941-11-24,jabari.thiel@yahoo.com,"681 Rogahn Canyon, Laneport, WI 32966-1339", WI ,32966
512785023504,Braeden,King,1984-05-13,braeden.king@yahoo.com,"Apt. 651 6872 Heather Wall, Mrazfort, CO 32732", CO ,32732
